experiment,game_index,seed,label_a,label_b,p1_ai,p2_ai,p1_label,p2_label,winner_player,winner_ai,winner_label,first_attacker,trump_suit,rounds,p1_wounds,p2_wounds,tie_breaker,final_reason,hero_usage,drafted_heroes_p1,drafted_heroes_p2
Random_vs_Random,11,1010,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Gondor,22,2,5,False,normal,"{'wormtongue': 1, 'boromir': 1, 'legolas': 1, 'galadriel': 1, 'nazgul': 1, 'gollum': 1, 'aragorn': 1}","['wormtongue', 'aragorn', 'boromir']","['gollum', 'sauron', 'nazgul', 'galadriel', 'legolas']"
Random_vs_Random,12,1011,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Gondor,21,3,0,False,normal,"{'nazgul': 1, 'saruman': 1, 'gollum': 1, 'frodo': 1, 'galadriel': 1, 'balrog': 1, 'legolas': 1, 'wormtongue': 1}","['wormtongue', 'galadriel', 'nazgul']","['saruman', 'legolas', 'frodo', 'gollum', 'balrog']"
Random_vs_Random,13,1012,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Shire,21,3,4,False,normal,"{'boromir': 1, 'legolas': 1, 'sauron': 1, 'frodo': 1, 'galadriel': 1, 'gollum': 1}","['boromir', 'saruman', 'aragorn', 'gollum']","['galadriel', 'legolas', 'frodo', 'sauron']"
Random_vs_Random,14,1013,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,19,6,0,False,normal,"{'frodo': 1, 'balrog': 1, 'wormtongue': 1, 'nazgul': 1, 'legolas': 1, 'gollum': 1, 'sauron': 1}","['sauron', 'frodo']","['nazgul', 'gollum', 'balrog', 'galadriel', 'legolas', 'wormtongue']"
Random_vs_Random,15,1014,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Shire,18,4,0,False,normal,"{'frodo': 1, 'gollum': 1, 'boromir': 1, 'wormtongue': 1, 'balrog': 1}","['saruman', 'wormtongue', 'balrog']","['gollum', 'boromir', 'frodo', 'galadriel', 'aragorn']"
Random_vs_Random,16,1015,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Mordor,17,3,6,False,normal,"{'legolas': 1, 'balrog': 1, 'frodo': 1, 'gandalf': 1, 'gollum': 1, 'nazgul': 1, 'saruman': 1}","['nazgul', 'frodo', 'gollum', 'saruman']","['balrog', 'legolas', 'gandalf', 'sauron']"
Random_vs_Random,17,1016,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Rohan,20,0,2,False,normal,"{'frodo': 1, 'gandalf': 1, 'galadriel': 1, 'nazgul': 1, 'gollum': 1, 'balrog': 1, 'sauron': 1}","['saruman', 'balrog', 'sauron', 'nazgul', 'gollum']","['galadriel', 'gandalf', 'frodo']"
Random_vs_Random,18,1017,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Shire,23,3,6,False,normal,"{'sauron': 1, 'gollum': 1, 'galadriel': 1, 'boromir': 1, 'nazgul': 1, 'balrog': 1, 'gandalf': 1}","['galadriel', 'frodo', 'gandalf']","['balrog', 'sauron', 'nazgul', 'boromir', 'gollum']"
Random_vs_Random,19,1018,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Gondor,16,0,6,False,normal,"{'gandalf': 1, 'sauron': 1, 'legolas': 1, 'gollum': 1, 'frodo': 1, 'saruman': 1, 'boromir': 1}","['legolas', 'boromir', 'frodo', 'gollum', 'sauron']","['aragorn', 'saruman', 'gandalf']"
Random_vs_Random,20,1019,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Shire,21,3,6,False,normal,"{'boromir': 1, 'gollum': 1, 'aragorn': 1, 'saruman': 1, 'wormtongue': 1, 'balrog': 1, 'nazgul': 1, 'gandalf': 1}","['aragorn', 'saruman']","['boromir', 'nazgul', 'balrog', 'wormtongue', 'gollum', 'gandalf']"
Random_vs_Random,21,1020,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Mordor,18,4,2,False,normal,"{'gandalf': 1, 'gollum': 1, 'aragorn': 1, 'galadriel': 1, 'nazgul': 1}","['wormtongue', 'saruman', 'legolas', 'galadriel']","['gollum', 'aragorn', 'nazgul', 'gandalf']"
Random_vs_Random,22,1021,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Shire,20,2,5,False,normal,"{'sauron': 1, 'frodo': 1, 'gandalf': 1, 'legolas': 1, 'gollum': 1, 'saruman': 1, 'wormtongue': 1}","['gollum', 'saruman', 'legolas', 'aragorn', 'wormtongue']","['frodo', 'gandalf', 'sauron']"
Random_vs_Random,23,1022,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Rohan,20,2,5,False,normal,"{'boromir': 1, 'gollum': 1, 'frodo': 1, 'sauron': 1, 'aragorn': 1, 'saruman': 1, 'balrog': 1}","['sauron', 'boromir', 'frodo', 'gollum']","['balrog', 'aragorn', 'saruman', 'wormtongue']"
Random_vs_Random,24,1023,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Mordor,13,1,3,False,normal,"{'frodo': 1, 'wormtongue': 1, 'aragorn': 1}","['balrog', 'wormtongue', 'gollum', 'sauron', 'saruman']","['aragorn', 'galadriel', 'frodo']"
Random_vs_Random,25,1024,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Rohan,23,4,3,False,normal,"{'legolas': 1, 'frodo': 1, 'sauron': 1, 'saruman': 1, 'boromir': 1, 'gandalf': 1, 'aragorn': 1}","['legolas', 'gandalf', 'saruman', 'galadriel', 'sauron']","['frodo', 'boromir', 'aragorn']"
Random_vs_Random,26,1025,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Gondor,24,3,3,False,normal,"{'balrog': 1, 'wormtongue': 1, 'gollum': 1, 'sauron': 1, 'galadriel': 1, 'gandalf': 1, 'boromir': 1, 'nazgul': 1}","['nazgul', 'gandalf', 'galadriel']","['wormtongue', 'balrog', 'gollum', 'boromir', 'sauron']"
Random_vs_Random,27,1026,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,21,2,2,False,normal,"{'boromir': 1, 'balrog': 1, 'saruman': 1, 'gandalf': 1, 'wormtongue': 1, 'gollum': 1, 'nazgul': 1, 'galadriel': 1}","['galadriel', 'gollum', 'gandalf', 'nazgul']","['balrog', 'saruman', 'wormtongue', 'boromir']"
Random_vs_Random,28,1027,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Gondor,18,0,6,False,normal,"{'wormtongue': 1, 'balrog': 1, 'frodo': 1, 'sauron': 1, 'saruman': 1, 'nazgul': 1, 'boromir': 1}","['nazgul', 'galadriel', 'boromir', 'wormtongue']","['balrog', 'saruman', 'frodo', 'sauron']"
Random_vs_Random,29,1028,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,11,6,0,False,normal,"{'wormtongue': 1, 'aragorn': 1, 'frodo': 1, 'gollum': 1, 'gandalf': 1}","['saruman', 'legolas', 'wormtongue', 'sauron', 'aragorn', 'gandalf']","['frodo', 'gollum']"
Random_vs_Random,30,1029,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,23,2,5,False,normal,"{'gandalf': 1, 'balrog': 1, 'frodo': 1, 'galadriel': 1, 'aragorn': 1, 'wormtongue': 1, 'legolas': 1, 'nazgul': 1}","['balrog', 'frodo', 'wormtongue', 'aragorn']","['galadriel', 'nazgul', 'legolas', 'gandalf']"
Random_vs_Random,31,1030,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Shire,18,3,1,False,normal,"{'boromir': 1, 'gollum': 1, 'nazgul': 1, 'gandalf': 1, 'legolas': 1, 'saruman': 1, 'galadriel': 1}","['boromir', 'saruman', 'nazgul', 'wormtongue', 'legolas']","['gollum', 'gandalf', 'galadriel']"
Random_vs_Random,32,1031,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Mordor,20,6,1,False,normal,"{'saruman': 1, 'wormtongue': 1, 'boromir': 1, 'gollum': 1, 'gandalf': 1, 'sauron': 1, 'nazgul': 1, 'balrog': 1}","['wormtongue', 'gollum', 'boromir', 'saruman']","['balrog', 'nazgul', 'sauron', 'gandalf']"
Random_vs_Random,33,1032,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Mordor,23,2,6,False,normal,"{'wormtongue': 1, 'balrog': 1, 'sauron': 1, 'gandalf': 1, 'gollum': 1, 'nazgul': 1, 'aragorn': 1, 'frodo': 1}","['wormtongue', 'balrog', 'gandalf', 'sauron']","['gollum', 'nazgul', 'aragorn', 'frodo']"
Random_vs_Random,34,1033,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Mordor,18,1,6,False,normal,"{'balrog': 1, 'boromir': 1, 'frodo': 1, 'saruman': 1, 'gandalf': 1, 'aragorn': 1, 'wormtongue': 1}","['frodo', 'balrog', 'legolas']","['aragorn', 'boromir', 'gandalf', 'saruman', 'wormtongue']"
Random_vs_Random,35,1034,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Mordor,20,5,0,False,normal,"{'aragorn': 1, 'frodo': 1, 'boromir': 1, 'sauron': 1, 'legolas': 1, 'wormtongue': 1, 'nazgul': 1, 'galadriel': 1}","['frodo', 'aragorn', 'sauron', 'galadriel']","['nazgul', 'legolas', 'boromir', 'wormtongue']"
Random_vs_Random,36,1035,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,22,3,0,False,normal,"{'gandalf': 1, 'frodo': 1, 'legolas': 1, 'galadriel': 1, 'nazgul': 1, 'gollum': 1, 'saruman': 1, 'sauron': 1}","['legolas', 'sauron', 'saruman', 'nazgul', 'gollum']","['gandalf', 'galadriel', 'frodo']"
Random_vs_Random,37,1036,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Gondor,15,6,1,False,normal,"{'gandalf': 1, 'galadriel': 1, 'frodo': 1, 'wormtongue': 1, 'aragorn': 1, 'boromir': 1}","['nazgul', 'galadriel', 'gandalf', 'aragorn', 'balrog']","['boromir', 'wormtongue', 'frodo']"
Random_vs_Random,38,1037,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Mordor,23,3,2,False,normal,"{'balrog': 1, 'gandalf': 1, 'saruman': 1, 'sauron': 1, 'frodo': 1, 'wormtongue': 1, 'galadriel': 1, 'boromir': 1}","['sauron', 'gandalf', 'saruman']","['frodo', 'balrog', 'boromir', 'galadriel', 'wormtongue']"
Random_vs_Random,39,1038,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Shire,24,4,1,False,normal,"{'wormtongue': 1, 'nazgul': 1, 'saruman': 1, 'gollum': 1, 'aragorn': 1, 'boromir': 1, 'galadriel': 1, 'sauron': 1}","['sauron', 'nazgul']","['gollum', 'saruman', 'wormtongue', 'boromir', 'galadriel', 'aragorn']"
Random_vs_Random,40,1039,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Gondor,18,6,2,False,normal,"{'legolas': 1, 'galadriel': 1, 'frodo': 1, 'boromir': 1, 'saruman': 1, 'wormtongue': 1}","['frodo', 'legolas', 'boromir', 'gollum']","['galadriel', 'wormtongue', 'saruman', 'aragorn']"
Random_vs_Random,41,1040,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,21,1,4,False,normal,"{'frodo': 1, 'boromir': 1, 'gandalf': 1, 'saruman': 1, 'wormtongue': 1}","['boromir', 'frodo', 'wormtongue']","['aragorn', 'gandalf', 'sauron', 'balrog', 'saruman']"
Random_vs_Random,42,1041,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Mordor,20,3,0,False,normal,"{'saruman': 1, 'wormtongue': 1, 'nazgul': 1, 'gandalf': 1, 'gollum': 1, 'legolas': 1, 'frodo': 1}","['legolas', 'galadriel', 'nazgul', 'frodo', 'gandalf', 'gollum']","['saruman', 'wormtongue']"
Random_vs_Random,43,1042,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Rohan,17,6,0,False,normal,"{'wormtongue': 1, 'legolas': 1, 'boromir': 1, 'nazgul': 1, 'aragorn': 1, 'frodo': 1}","['sauron', 'balrog', 'frodo', 'nazgul', 'boromir']","['aragorn', 'wormtongue', 'legolas']"
Random_vs_Random,44,1043,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Mordor,23,2,2,False,normal,"{'legolas': 1, 'gandalf': 1, 'galadriel': 1, 'aragorn': 1, 'frodo': 1, 'nazgul': 1, 'gollum': 1, 'sauron': 1}","['sauron', 'gandalf', 'frodo', 'gollum', 'galadriel', 'nazgul']","['aragorn', 'legolas']"
Random_vs_Random,45,1044,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Mordor,20,0,4,False,normal,"{'wormtongue': 1, 'sauron': 1, 'gollum': 1, 'boromir': 1, 'frodo': 1, 'balrog': 1, 'galadriel': 1}","['gandalf', 'galadriel', 'boromir']","['balrog', 'frodo', 'wormtongue', 'sauron', 'gollum']"
Random_vs_Random,46,1045,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Mordor,20,6,0,False,normal,"{'gollum': 1, 'wormtongue': 1, 'saruman': 1, 'legolas': 1, 'aragorn': 1, 'balrog': 1}","['wormtongue', 'aragorn', 'gollum']","['balrog', 'legolas', 'gandalf', 'saruman', 'galadriel']"
Random_vs_Random,47,1046,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Gondor,25,1,5,False,normal,"{'frodo': 1, 'saruman': 1, 'gandalf': 1, 'sauron': 1, 'gollum': 1, 'legolas': 1, 'nazgul': 1, 'galadriel': 1}","['gollum', 'nazgul', 'gandalf', 'legolas']","['galadriel', 'saruman', 'frodo', 'sauron']"
Random_vs_Random,48,1047,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Rohan,7,0,6,False,normal,"{'gollum': 1, 'wormtongue': 1}","['wormtongue', 'gollum', 'boromir', 'gandalf']","['saruman', 'balrog', 'aragorn', 'frodo']"
Random_vs_Random,49,1048,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Shire,18,2,5,False,normal,"{'gollum': 1, 'balrog': 1, 'nazgul': 1, 'legolas': 1, 'frodo': 1, 'aragorn': 1}","['nazgul', 'balrog', 'gollum', 'gandalf', 'boromir']","['aragorn', 'legolas', 'frodo']"
Random_vs_Random,50,1049,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,22,5,4,False,normal,"{'wormtongue': 1, 'aragorn': 1, 'balrog': 1, 'saruman': 1, 'gollum': 1, 'boromir': 1}","['wormtongue', 'nazgul', 'aragorn', 'gollum', 'sauron', 'saruman']","['balrog', 'boromir']"
Random_vs_Random,51,1050,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Mordor,11,6,0,False,normal,"{'gollum': 1, 'wormtongue': 1}","['frodo', 'saruman', 'aragorn', 'gollum', 'sauron']","['wormtongue', 'gandalf', 'boromir']"
Random_vs_Random,52,1051,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,20,5,0,False,normal,"{'nazgul': 1, 'gandalf': 1, 'saruman': 1, 'sauron': 1, 'aragorn': 1, 'wormtongue': 1, 'gollum': 1}","['aragorn', 'gollum', 'wormtongue']","['saruman', 'gandalf', 'galadriel', 'sauron', 'nazgul']"
Random_vs_Random,53,1052,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Rohan,21,1,5,False,normal,"{'balrog': 1, 'frodo': 1, 'gandalf': 1, 'gollum': 1, 'aragorn': 1, 'sauron': 1, 'legolas': 1, 'galadriel': 1}","['galadriel', 'aragorn', 'gollum', 'frodo', 'balrog']","['legolas', 'gandalf', 'sauron']"
Random_vs_Random,54,1053,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Rohan,17,0,4,False,normal,"{'gandalf': 1, 'nazgul': 1, 'sauron': 1, 'galadriel': 1, 'frodo': 1}","['gandalf', 'galadriel', 'nazgul']","['frodo', 'sauron', 'wormtongue', 'gollum', 'legolas']"
Random_vs_Random,55,1054,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Gondor,15,6,0,False,normal,"{'balrog': 1, 'nazgul': 1, 'aragorn': 1, 'frodo': 1, 'sauron': 1, 'saruman': 1}","['frodo', 'saruman']","['aragorn', 'sauron', 'boromir', 'galadriel', 'balrog', 'nazgul']"
Random_vs_Random,56,1055,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Rohan,11,6,0,False,normal,"{'sauron': 1, 'gandalf': 1, 'gollum': 1, 'frodo': 1, 'balrog': 1, 'saruman': 1}","['galadriel', 'sauron']","['frodo', 'saruman', 'boromir', 'gollum', 'gandalf', 'balrog']"
Random_vs_Random,57,1056,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Rohan,20,6,0,False,normal,"{'balrog': 1, 'frodo': 1, 'gandalf': 1, 'galadriel': 1, 'wormtongue': 1, 'legolas': 1, 'aragorn': 1}","['wormtongue', 'saruman', 'frodo', 'galadriel']","['gandalf', 'balrog', 'aragorn', 'legolas']"
Random_vs_Random,58,1057,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Rohan,21,1,6,False,normal,"{'wormtongue': 1, 'frodo': 1, 'aragorn': 1, 'boromir': 1, 'nazgul': 1, 'balrog': 1, 'saruman': 1}","['boromir', 'nazgul', 'balrog']","['aragorn', 'frodo', 'wormtongue', 'gollum', 'saruman']"
Random_vs_Random,59,1058,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,12,6,1,False,normal,"{'galadriel': 1, 'gandalf': 1, 'frodo': 1, 'wormtongue': 1, 'balrog': 1, 'nazgul': 1}","['galadriel', 'gandalf', 'aragorn', 'frodo']","['sauron', 'balrog', 'nazgul', 'wormtongue']"
Random_vs_Random,60,1059,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Mordor,16,0,5,False,normal,"{'wormtongue': 1, 'galadriel': 1, 'boromir': 1, 'gollum': 1, 'nazgul': 1, 'legolas': 1, 'frodo': 1}","['legolas', 'boromir']","['wormtongue', 'nazgul', 'frodo', 'galadriel', 'saruman', 'gollum']"
Random_vs_Random,61,1060,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Gondor,22,3,2,False,normal,"{'boromir': 1, 'gollum': 1, 'balrog': 1, 'legolas': 1, 'frodo': 1, 'wormtongue': 1, 'aragorn': 1}","['legolas', 'balrog', 'gollum', 'gandalf']","['boromir', 'aragorn', 'frodo', 'wormtongue']"
Random_vs_Random,62,1061,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Rohan,24,4,4,False,normal,"{'balrog': 1, 'aragorn': 1, 'gandalf': 1, 'boromir': 1, 'wormtongue': 1, 'gollum': 1, 'saruman': 1, 'frodo': 1}","['gollum', 'saruman', 'frodo']","['boromir', 'wormtongue', 'balrog', 'aragorn', 'gandalf']"
Random_vs_Random,63,1062,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Rohan,19,3,1,False,normal,"{'gandalf': 1, 'gollum': 1, 'wormtongue': 1, 'nazgul': 1, 'galadriel': 1, 'saruman': 1, 'balrog': 1}","['nazgul', 'saruman', 'gandalf', 'wormtongue']","['aragorn', 'balrog', 'galadriel', 'gollum']"
Random_vs_Random,64,1063,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Rohan,26,3,6,False,normal,"{'frodo': 1, 'saruman': 1, 'balrog': 1, 'legolas': 1, 'aragorn': 1, 'wormtongue': 1, 'gollum': 1, 'nazgul': 1}","['saruman', 'aragorn', 'legolas', 'balrog']","['frodo', 'wormtongue', 'gollum', 'nazgul']"
Random_vs_Random,65,1064,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Rohan,11,6,1,False,normal,"{'boromir': 1, 'saruman': 1, 'legolas': 1}","['balrog', 'wormtongue', 'boromir', 'sauron']","['saruman', 'legolas', 'gollum', 'gandalf']"
Random_vs_Random,66,1065,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Shire,22,4,1,False,normal,"{'saruman': 1, 'gandalf': 1, 'legolas': 1, 'nazgul': 1, 'balrog': 1, 'boromir': 1, 'gollum': 1, 'sauron': 1}","['balrog', 'gandalf', 'nazgul', 'legolas', 'sauron']","['boromir', 'gollum', 'saruman']"
Random_vs_Random,67,1066,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Mordor,17,2,0,False,normal,"{'sauron': 1, 'aragorn': 1, 'gandalf': 1, 'galadriel': 1, 'gollum': 1, 'boromir': 1, 'nazgul': 1}","['gollum', 'boromir', 'saruman', 'sauron', 'nazgul']","['gandalf', 'galadriel', 'aragorn']"
Random_vs_Random,68,1067,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Rohan,22,3,4,False,normal,"{'gandalf': 1, 'sauron': 1, 'nazgul': 1, 'balrog': 1, 'gollum': 1, 'wormtongue': 1, 'saruman': 1, 'galadriel': 1}","['galadriel', 'gollum', 'gandalf']","['saruman', 'balrog', 'sauron', 'wormtongue', 'nazgul']"
Random_vs_Random,69,1068,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Shire,17,0,2,False,normal,"{'balrog': 1, 'sauron': 1, 'nazgul': 1, 'boromir': 1, 'gollum': 1, 'legolas': 1, 'frodo': 1, 'saruman': 1}","['saruman', 'frodo', 'nazgul', 'legolas', 'gollum', 'boromir']","['sauron', 'balrog']"
Random_vs_Random,70,1069,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Mordor,22,2,4,False,normal,"{'frodo': 1, 'gollum': 1, 'boromir': 1, 'aragorn': 1, 'nazgul': 1, 'wormtongue': 1, 'gandalf': 1, 'galadriel': 1}","['galadriel', 'frodo', 'gollum', 'aragorn']","['nazgul', 'gandalf', 'boromir', 'wormtongue']"
Random_vs_Random,71,1070,Random,Random,Random,Random,Random,Random,P1,Random,Random,P1,Mordor,17,4,1,False,normal,"{'galadriel': 1, 'legolas': 1, 'gollum': 1, 'saruman': 1}","['galadriel', 'gollum', 'legolas', 'saruman']","['wormtongue', 'sauron', 'nazgul', 'aragorn']"
Random_vs_Random,72,1071,Random,Random,Random,Random,Random,Random,P1,Random,Random,P2,Mordor,17,0,6,False,normal,"{'boromir': 1, 'wormtongue': 1, 'gollum': 1, 'gandalf': 1, 'galadriel': 1, 'aragorn': 1}","['wormtongue', 'boromir', 'aragorn']","['gandalf', 'legolas', 'nazgul', 'galadriel', 'gollum']"
Random_vs_Random,73,1072,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Gondor,18,6,1,False,normal,"{'gollum': 1, 'legolas': 1, 'balrog': 1, 'sauron': 1, 'saruman': 1, 'galadriel': 1}","['sauron', 'galadriel', 'nazgul', 'balrog', 'gollum', 'legolas']","['saruman', 'boromir']"
Random_vs_Random,74,1073,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Rohan,7,6,0,False,normal,"{'balrog': 1, 'frodo': 1}","['galadriel', 'saruman', 'legolas', 'aragorn', 'wormtongue']","['gandalf', 'frodo', 'balrog']"
Random_vs_Random,75,1074,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Shire,22,5,1,False,normal,"{'gandalf': 1, 'boromir': 1, 'sauron': 1, 'aragorn': 1, 'saruman': 1, 'legolas': 1, 'wormtongue': 1, 'balrog': 1}","['balrog', 'wormtongue', 'legolas']","['gandalf', 'saruman', 'sauron', 'boromir', 'aragorn']"
Random_vs_Random,76,1075,Random,Random,Random,Random,Random,Random,P2,Random,Random,P1,Shire,11,6,0,False,normal,"{'gollum': 1, 'balrog': 1, 'galadriel': 1, 'legolas': 1}","['saruman', 'galadriel', 'gollum', 'aragorn']","['boromir', 'gandalf', 'legolas', 'balrog']"
Random_vs_Random,77,1076,Random,Random,Random,Random,Random,Random,P2,Random,Random,P2,Gondor,21,6,2,False,normal,"{'nazgul': 1, 'legolas': 1, 'galadriel': 1, 'frodo': 1, 'sauron': 1, 'balrog': 1}","['aragorn', 'nazgul', 'sauron', 'balrog', 'galadriel', 'wormtongue']","['legolas', 'frodo']"
